,Site_Name,Hrs_On,Oil_(BBL),Gas_(MCF),Water_(BBL),Tubing_(PSI),Casing_(PSI,Remarks,Date
9,SEA WASP 2H,0:00,0.42,0.47,0.42,80.0,80.0,Shut down due to weather,2021-02-19
10,STINGRAY 2H,0:00,0.0,0.0,0.0,200.0,100.0,BOL(2/19 @ 8:20am),2021-02-19
11,THORNY DEVIL 1H,0:00,0.0,0.0,0.0,100.0,100.0,shut down due to weather heater treater dumps plugged,2021-02-19
12,THORNY DEVIL 2H,0:00,0.0,77.97,0.83,100.0,100.0,shut down due to weather heater treater dumps plugged,2021-02-19
13,THORNY DEVIL 3H,0:00,0.42,32.81,0.41,100.0,80.0,shut down due to weather heater treater dumps plugged,2021-02-19
14,WOMBAT 2H,0:00,0.0,0.0,0.0,140.0,90.0,,2021-02-19
0,CROC 1H,0:00,0.0,0.12,0.0,200.0,70.0,Unit down due to freezing conditions,2021-02-18
1,GALAH 3H,24:00,68.52,41.4,1.25,150.0,80.0,,2021-02-18
2,GOANNA 1H,0:00,0.0,0.0,0.0,50.0,15.0,down hole failure,2021-02-18
3,GREAT WHITE 1H,0:00,0.0,15.84,0.0,125.0,90.0,,2021-02-18
4,GREAT WHITE 2H,0:00,0.0,20.97,0.0,125.0,90.0,,2021-02-18
5,JAVELINA 1H,0:00,0.0,0.0,0.0,130.0,80.0,,2021-02-18
6,MANTA 1H,0:00,0.0,0.58,0.0,200.0,80.0,Unit down due to weather conditions,2021-02-18
7,REEF 3H,0:00,0.0,2.42,0.0,200.0,70.0,Unit down due to freezing conditions,2021-02-18
8,RIDGEBACK 1H,0:00,0.0,0.0,0.0,120.0,80.0,,2021-02-18
9,SEA WASP 2H,0:00,-0.42,4.0,1.67,80.0,80.0,Shut down due to weather,2021-02-18
10,STINGRAY 2H,0:00,0.0,0.0,0.0,200.0,100.0,,2021-02-18
11,THORNY DEVIL 1H,0:00,0.0,0.0,0.0,100.0,100.0,shut down due to weather heater treater dumps plugged,2021-02-18
12,THORNY DEVIL 2H,0:00,0.0,69.48,0.0,100.0,100.0,shut down due to weather heater treater dumps plugged,2021-02-18
13,THORNY DEVIL 3H,0:00,0.0,12.68,8.75,100.0,80.0,shut down due to weather heater treater dumps plugged,2021-02-18
14,WOMBAT 2H,0:00,0.0,0.0,0.0,140.0,90.0,,2021-02-18
0,CROC 1H,0:00,0.0,1.54,0.0,200.0,70.0,Unit down due to freezing conditions,2021-02-17
1,GALAH 3H,24:00,72.69,22.34,-0.42,150.0,80.0,,2021-02-17
2,GOANNA 1H,0:00,0.0,0.0,0.0,50.0,15.0,down hole failure,2021-02-17
3,GREAT WHITE 1H,0:00,0.01,14.18,0.0,125.0,90.0,,2021-02-17
4,GREAT WHITE 2H,0:00,0.01,23.92,0.0,125.0,90.0,,2021-02-17
5,JAVELINA 1H,0:00,0.0,4.73,0.0,130.0,80.0,,2021-02-17
6,MANTA 1H,0:00,0.0,2.56,0.0,200.0,80.0,Down due to weather conditions,2021-02-17
7,REEF 3H,0:00,0.0,8.82,0.0,200.0,70.0,Unit down due to freezing conditions,2021-02-17
8,RIDGEBACK 1H,0:00,0.0,4.05,0.0,120.0,80.0,,2021-02-17
9,SEA WASP 2H,0:00,2.51,23.8,5.83,80.0,80.0,Shut down due to weather,2021-02-17
10,STINGRAY 2H,0:00,0.0,15.77,0.0,200.0,100.0,,2021-02-17
11,THORNY DEVIL 1H,0:00,0.84,3.14,0.0,100.0,100.0,shut down due to weather heater treater dumps plugged,2021-02-17
12,THORNY DEVIL 2H,0:00,21.16,69.02,2.5,100.0,100.0,shut down due to weather heater treater dumps plugged,2021-02-17
13,THORNY DEVIL 3H,0:00,1.26,17.37,0.0,100.0,80.0,shut down due to weather heater treater dumps plugged,2021-02-17
14,WOMBAT 2H,0:00,0.0,0.0,0.0,140.0,90.0,,2021-02-17
0,CROC 1H,0:00,0.0,7.36,0.0,200.0,70.0,Shut down unit due to freezing conditions,2021-02-16
1,GALAH 3H,24:00,72.25,12.06,0.0,150.0,80.0,,2021-02-16
2,GOANNA 1H,0:00,0.0,0.0,0.0,50.0,15.0,down hole failure,2021-02-16
3,GREAT WHITE 1H,0:00,0.0,20.14,0.0,125.0,90.0,,2021-02-16
4,GREAT WHITE 2H,0:00,0.0,28.79,0.0,125.0,90.0,,2021-02-16
5,JAVELINA 1H,24:00,36.7,16.64,0.0,130.0,80.0,Shut down(frozen water leg),2021-02-16
6,MANTA 1H,12:00,32.08,5.84,0.0,200.0,80.0,"Well plugging off, loss of power due to weather",2021-02-16
7,REEF 3H,0:00,0.0,13.93,0.0,200.0,70.0,Shut down unit due to freezing conditions,2021-02-16
8,RIDGEBACK 1H,24:00,33.41,12.35,0.0,120.0,80.0,Shut down(frozen water leg),2021-02-16
9,SEA WASP 2H,22:00,20.05,43.95,0.41,80.0,80.0,SHUT DOWN UNIT HEATER DUMPS PLUGGED,2021-02-16
10,STINGRAY 2H,20:00,33.45,12.39,1.67,200.0,100.0,"12hrs on/12hrs off, 6.6spm, Shut down(no power)",2021-02-16
11,THORNY DEVIL 1H,0:00,0.41,44.47,2.08,100.0,100.0,shut down due to weather heater treater dumps plugged,2021-02-16
12,THORNY DEVIL 2H,0:00,0.0,145.05,7.08,100.0,100.0,shut down due to weather heater treater dumps plugged,2021-02-16
13,THORNY DEVIL 3H,0:00,-0.85,21.89,-1.25,100.0,80.0,Belt broken water leg froze off,2021-02-16
14,WOMBAT 2H,4:00,1.67,6.16,0.0,140.0,90.0,Shut down(no power),2021-02-16
0,CROC 1H,24:00,8.31,8.61,1.67,200.0,70.0,"12on/12off, 6.5spm",2021-02-15
1,GALAH 3H,24:00,71.85,17.15,3.33,150.0,80.0,,2021-02-15
2,GOANNA 1H,0:00,0.0,0.0,0.0,50.0,15.0,down hole failure,2021-02-15
3,GREAT WHITE 1H,24:00,19.99,43.75,5.0,125.0,90.0,,2021-02-15
4,GREAT WHITE 2H,24:00,38.33,47.54,5.0,125.0,90.0,,2021-02-15
5,JAVELINA 1H,24:00,26.67,16.69,0.0,130.0,80.0,"12hrs on/12hrs off, 7.3spm",2021-02-15
6,MANTA 1H,24:00,44.63,31.54,18.14,200.0,80.0,,2021-02-15
7,REEF 3H,24:00,25.8,39.52,21.67,200.0,70.0,6.5spm,2021-02-15
8,RIDGEBACK 1H,24:00,16.74,12.35,0.0,120.0,80.0,7.1spm,2021-02-15
9,SEA WASP 2H,24:00,13.37,42.86,3.34,120.0,80.0,,2021-02-15
10,STINGRAY 2H,24:00,6.68,10.05,3.33,200.0,100.0,"12hrs on/12hrs off, 6.6spm",2021-02-15
11,THORNY DEVIL 1H,24:00,41.56,98.61,11.67,100.0,100.0,shut down due to weather heater treater dumps plugged,2021-02-15
12,THORNY DEVIL 2H,24:00,26.57,113.91,23.33,100.0,100.0,shut down due to weather heater treater dumps plugged,2021-02-15
13,THORNY DEVIL 3H,24:00,15.04,34.39,3.33,180.0,80.0,,2021-02-15
14,WOMBAT 2H,24:00,15.03,28.6,6.66,140.0,90.0,,2021-02-15
0,CROC 1H,24:00,13.31,11.51,0.0,200.0,70.0,"12on/12off, 6.5spm",2021-02-14
1,GALAH 3H,24:00,68.61,15.68,3.34,150.0,80.0,,2021-02-14
2,GOANNA 1H,0:00,0.0,0.0,0.0,50.0,15.0,down hole failure,2021-02-14
3,GREAT WHITE 1H,24:00,44.74,53.08,16.33,125.0,90.0,,2021-02-14
4,GREAT WHITE 2H,24:00,46.67,66.52,17.0,125.0,90.0,,2021-02-14
5,JAVELINA 1H,24:00,25.01,16.31,5.0,130.0,80.0,"12hrs on/12hrs off, 7.3spm",2021-02-14
6,MANTA 1H,24:00,15.34,4.0,5.58,200.0,80.0,Avg- 6.5spm,2021-02-14
7,REEF 3H,24:00,36.19,33.21,7.5,200.0,70.0,6.5spm,2021-02-14
8,RIDGEBACK 1H,24:00,16.8,10.82,6.67,120.0,80.0,7.1spm,2021-02-14
9,SEA WASP 2H,24:00,15.02,45.93,3.33,120.0,80.0,,2021-02-14
10,STINGRAY 2H,24:00,39.3,29.09,13.75,200.0,100.0,"12hrs on/12hrs off, 6.6spm",2021-02-14
11,THORNY DEVIL 1H,24:00,43.22,109.08,28.33,120.0,100.0,,2021-02-14
12,THORNY DEVIL 2H,24:00,33.27,114.9,16.67,180.0,100.0,,2021-02-14
13,THORNY DEVIL 3H,24:00,15.04,55.43,8.34,180.0,80.0,,2021-02-14
14,WOMBAT 2H,24:00,18.42,30.18,16.67,140.0,90.0,,2021-02-14
0,CROC 1H,24:00,4.99,14.09,6.25,200.0,70.0,"12on/12off, 6.5spm",2021-02-13
1,GALAH 3H,24:00,70.36,8.75,5.0,150.0,80.0,,2021-02-13
2,GOANNA 1H,0:00,0.0,0.0,0.0,50.0,15.0,down hole failure,2021-02-13
3,GREAT WHITE 1H,24:00,44.99,69.51,-114.17,0.0,0.0,,2021-02-13
4,GREAT WHITE 2H,24:00,39.16,52.93,0.0,0.0,0.0,,2021-02-13
5,JAVELINA 1H,24:00,33.76,16.4,6.66,0.0,0.0,,2021-02-13
6,MANTA 1H,24:00,45.32,37.66,0.0,200.0,80.0,Avg- 6.5spm,2021-02-13
7,REEF 3H,24:00,23.3,31.54,6.25,200.0,70.0,6.5spm,2021-02-13
8,RIDGEBACK 1H,24:00,16.75,11.9,4.99,0.0,0.0,,2021-02-13
9,SEA WASP 2H,24:00,13.41,43.81,3.33,120.0,80.0,,2021-02-13
10,STINGRAY 2H,24:00,14.2,11.19,4.58,1872.0,1872.0,,2021-02-13
11,THORNY DEVIL 1H,24:00,42.25,110.79,28.33,180.0,100.0,chemical treat,2021-02-13
12,THORNY DEVIL 2H,24:00,37.56,114.72,20.0,180.0,100.0,chemical treat,2021-02-13
13,THORNY DEVIL 3H,24:00,25.06,73.87,3.33,180.0,80.0,,2021-02-13
14,WOMBAT 2H,24:00,0.77,30.32,12.91,70.0,3.0,,2021-02-13
0,CROC 1H,24:00,18.29,26.79,20.41,200.0,70.0,"12on/12off, 6.5spm",2021-02-12
1,GALAH 3H,24:00,68.51,12.21,2.08,150.0,80.0,,2021-02-12
2,GOANNA 1H,0:00,0.0,0.0,0.0,50.0,15.0,down hole failure,2021-02-12
3,GREAT WHITE 1H,24:00,50.0,70.0,28.33,125.0,90.0,,2021-02-12
4,GREAT WHITE 2H,24:00,52.38,62.0,20.0,125.0,90.0,,2021-02-12
5,JAVELINA 1H,24:00,21.67,16.0,5.0,130.0,80.0,"12hrs on/12hrs off, 7.3spm",2021-02-12
6,MANTA 1H,24:00,12.56,12.77,9.06,200.0,80.0,Avg- 6.5spm / Low load limit,2021-02-12
7,REEF 3H,24:00,29.95,55.77,2.08,200.0,70.0,6.5spm,2021-02-12
8,RIDGEBACK 1H,24:00,10.02,9.0,5.67,120.0,80.0,7.1spm,2021-02-12
9,SEA WASP 2H,24:00,10.9,44.27,4.59,120.0,80.0,,2021-02-12
10,STINGRAY 2H,24:00,25.07,16.0,11.67,200.0,100.0,"12hrs on/12hrs off, 6.6spm",2021-02-12
11,THORNY DEVIL 1H,24:00,44.47,103.98,17.92,180.0,100.0,,2021-02-12
12,THORNY DEVIL 2H,24:00,38.61,115.23,13.75,180.0,100.0,,2021-02-12
13,THORNY DEVIL 3H,24:00,16.73,55.08,5.42,180.0,80.0,,2021-02-12
14,WOMBAT 2H,24:00,18.37,23.0,5.0,140.0,90.0,,2021-02-12
0,CROC 1H,24:00,11.65,6.06,0.42,200.0,70.0,"12on/12off, 6.5spm",2021-02-11
1,GALAH 3H,24:00,26.74,9.36,54.59,150.0,80.0,,2021-02-11
2,GOANNA 1H,0:00,0.0,0.0,0.0,50.0,50.0,down hole failure,2021-02-11
3,GREAT WHITE 1H,24:00,57.25,63.25,9.33,125.0,90.0,,2021-02-11
4,GREAT WHITE 2H,24:00,41.67,52.49,9.0,125.0,90.0,,2021-02-11
5,JAVELINA 1H,24:00,18.34,17.0,6.67,130.0,80.0,"12hrs on/12hrs off, 7.3spm",2021-02-11
6,MANTA 1H,24:00,31.38,35.7,13.26,200.0,80.0,Avg- 6.5spm,2021-02-11
7,REEF 3H,24:00,32.46,42.68,0.42,200.0,70.0,6.5spm,2021-02-11
8,RIDGEBACK 1H,24:00,16.71,11.0,3.33,120.0,80.0,7.1spm,2021-02-11
9,SEA WASP 2H,24:00,7.32,46.18,8.33,120.0,80.0,,2021-02-11
10,STINGRAY 2H,24:00,18.37,5.01,5.0,200.0,100.0,"12hrs on/12hrs off, 6.6spm",2021-02-11
11,THORNY DEVIL 1H,24:00,48.21,107.65,21.67,180.0,100.0,,2021-02-11
12,THORNY DEVIL 2H,24:00,37.37,114.27,21.67,180.0,100.0,,2021-02-11
13,THORNY DEVIL 3H,24:00,14.84,69.19,9.58,180.0,80.0,,2021-02-11
14,WOMBAT 2H,24:00,25.05,34.53,5.0,140.0,90.0,,2021-02-11
0,CROC 1H,24:00,6.65,6.71,7.5,444.0,0.0,"12on/12off, 6.5spm",2021-02-10
1,GALAH 3H,22:00,5.87,4.0,55.41,100.0,40.0,BOL 8:15 2-9,2021-02-10
2,GOANNA 1H,0:00,0.0,0.0,0.0,50.0,15.0,down hole failure,2021-02-10
3,GREAT WHITE 1H,24:00,53.33,72.3,30.0,125.0,90.0,,2021-02-10
4,GREAT WHITE 2H,24:00,50.0,68.41,30.0,125.0,90.0,,2021-02-10
5,JAVELINA 1H,24:00,20.86,16.78,10.0,130.0,80.0,"12hrs on/12hrs off, 7.3spm",2021-02-10
6,MANTA 1H,24:00,29.29,40.02,21.62,200.0,80.0,Avg- 6.5spm,2021-02-10
7,REEF 3H,24:00,28.28,29.34,1.67,200.0,70.0,6.5spm,2021-02-10
8,RIDGEBACK 1H,24:00,16.71,11.32,3.34,120.0,80.0,7.1spm,2021-02-10
9,SEA WASP 2H,24:00,13.78,46.56,3.75,120.0,80.0,,2021-02-10
10,STINGRAY 2H,24:00,16.75,6.15,1.67,200.0,100.0,"12hrs on/12hrs off, 6.6spm",2021-02-10
11,THORNY DEVIL 1H,24:00,50.71,110.08,22.5,180.0,100.0,,2021-02-10
12,THORNY DEVIL 2H,24:00,37.36,113.0,17.5,180.0,100.0,,2021-02-10
13,THORNY DEVIL 3H,24:00,30.5,79.76,2.92,180.0,80.0,,2021-02-10
14,WOMBAT 2H,24:00,10.02,30.27,3.33,140.0,90.0,,2021-02-10
0,CROC 1H,24:00,16.63,21.17,27.08,200.0,70.0,"12on/12off, 6.5spm",2021-02-09
1,GALAH 3H,0:00,0.0,5.88,27.92,0.0,0.0,W/O ops,2021-02-09
2,GOANNA 1H,0:00,0.0,0.0,0.0,50.0,15.0,down hole failure,2021-02-09
3,GREAT WHITE 1H,24:00,55.0,75.26,20.67,125.0,90.0,,2021-02-09
4,GREAT WHITE 2H,24:00,38.11,49.56,20.0,125.0,90.0,,2021-02-09
5,JAVELINA 1H,24:00,17.47,16.57,8.33,130.0,80.0,"12hrs on/12hrs off, 7.3spm",2021-02-09
6,MANTA 1H,24:00,22.32,28.79,13.25,200.0,80.0,Avg- 6.5spm,2021-02-09
7,REEF 3H,24:00,29.11,35.17,2.5,200.0,70.0,6.5spm,2021-02-09
8,RIDGEBACK 1H,24:00,18.38,11.94,3.33,120.0,80.0,7.1spm,2021-02-09
9,SEA WASP 2H,24:00,17.13,47.22,3.75,120.0,80.0,,2021-02-09
10,STINGRAY 2H,24:00,17.71,4.15,6.66,200.0,100.0,"12hrs on/12hrs off, 6.6spm",2021-02-09
11,THORNY DEVIL 1H,24:00,15.79,73.83,5.83,100.0,100.0,,2021-02-09
12,THORNY DEVIL 2H,24:00,37.19,111.25,20.0,180.0,100.0,,2021-02-09
13,THORNY DEVIL 3H,24:00,14.2,59.15,2.92,180.0,80.0,,2021-02-09
14,WOMBAT 2H,24:00,11.69,32.59,33.34,140.0,90.0,,2021-02-09
0,CROC 1H,24:00:00,11.65,6.28,36.67,200.0,70.0,"12on/12off, 6.5spm",2021-02-08
1,GALAH 3H,0:00,0.0,16.04,0.0,0.0,0.0,W/O ops,2021-02-08
2,GOANNA 1H,0:00,0.0,0.0,0.0,50.0,50.0,down hole failure,2021-02-08
3,GREAT WHITE 1H,24:00:00,57.31,77.0,36.67,125.0,90.0,,2021-02-08
4,GREAT WHITE 2H,24:00:00,51.66,72.0,25.0,125.0,90.0,,2021-02-08
5,JAVELINA 1H,24:00:00,21.69,17.0,10.0,130.0,80.0,"12hrs on/12hrs off, 7.3spm",2021-02-08
6,MANTA 1H,24:00:00,36.95,39.0,13.25,200.0,80.0,Avg- 6.5spm,2021-02-08
7,REEF 3H,24:00:00,28.27,65.56,28.33,200.0,70.0,6.5spm,2021-02-08
8,RIDGEBACK 1H,24:00:00,16.71,12.0,6.67,120.0,80.0,7.1spm,2021-02-08
9,SEA WASP 2H,24:00:00,13.78,45.43,2.5,120.0,80.0,,2021-02-08
10,STINGRAY 2H,24:00:00,20.07,6.0,3.34,200.0,100.0,"12hrs on/12hrs off, 6.6spm",2021-02-08
11,THORNY DEVIL 1H,24:00:00,42.39,107.58,19.17,180.0,100.0,,2021-02-08
12,THORNY DEVIL 2H,24:00:00,38.19,113.02,18.33,180.0,100.0,,2021-02-08
13,THORNY DEVIL 3H,24:00:00,13.37,71.34,9.16,180.0,80.0,,2021-02-08
14,WOMBAT 2H,24:00:00,11.69,24.0,13.33,140.0,90.0,,2021-02-08
0,CROC 1H,24:00:00,4.99,6.11,18.33,200.0,70.0,"12on/12off, 6.5spm",2021-02-07
1,GALAH 3H,0:00,0.0,23.0,0.42,0.0,0.0,W/O ops,2021-02-07
2,GOANNA 1H,0:00,0.0,0.0,0.0,50.0,50.0,down hole failure,2021-02-07
3,GREAT WHITE 1H,24:00:00,60.01,71.68,18.66,125.0,90.0,,2021-02-07
4,GREAT WHITE 2H,24:00:00,45.0,46.86,17.0,125.0,90.0,,2021-02-07
5,JAVELINA 1H,24:00:00,20.0,16.76,5.0,130.0,80.0,"12hrs on/12hrs off, 7.3spm",2021-02-07
6,MANTA 1H,24:00:00,22.31,39.9,27.9,200.0,80.0,Avg- 6.5spm,2021-02-07
7,REEF 3H,24:00:00,43.25,31.62,5.0,200.0,70.0,6.5spm,2021-02-07
8,RIDGEBACK 1H,24:00:00,20.06,12.0,5.0,120.0,80.0,7.1spm,2021-02-07
9,SEA WASP 2H,24:00:00,10.03,43.27,7.09,120.0,80.0,,2021-02-07
10,STINGRAY 2H,24:00:00,26.74,6.22,2.33,200.0,100.0,"12hrs on/12hrs off, 6.6spm",2021-02-07
11,THORNY DEVIL 1H,24:00:00,39.32,106.91,21.67,180.0,100.0,,2021-02-07
12,THORNY DEVIL 2H,24:00:00,39.86,113.37,19.17,180.0,100.0,,2021-02-07
13,THORNY DEVIL 3H,24:00:00,26.74,80.59,8.34,180.0,80.0,,2021-02-07
14,WOMBAT 2H,24:00:00,20.04,34.52,15.0,140.0,90.0,,2021-02-07
0,CROC 1H,24:00:00,11.67,6.86,16.67,200.0,70.0,"12on/12off, 6.5spm",2021-02-06
1,GALAH 3H,0:00,-0.42,23.4,-0.84,0.0,0.0,W/O ops,2021-02-06
2,GOANNA 1H,0:00,0.0,0.0,0.0,50.0,50.0,down hole failure,2021-02-06
3,GREAT WHITE 1H,24:00:00,50.0,73.72,23.34,125.0,90.0,,2021-02-06
4,GREAT WHITE 2H,24:00:00,43.33,43.61,20.0,125.0,90.0,,2021-02-06
5,JAVELINA 1H,24:00:00,21.68,17.32,6.67,130.0,80.0,"12hrs on/12hrs off, 7.3spm",2021-02-06
6,MANTA 1H,24:00:00,37.44,39.9,27.9,200.0,80.0,Avg- 6.5spm,2021-02-06
7,REEF 3H,24:00:00,17.53,50.2,3.33,200.0,70.0,6.5spm,2021-02-06
8,RIDGEBACK 1H,24:00:00,11.69,11.63,1.66,120.0,80.0,7.1spm,2021-02-06
9,SEA WASP 2H,24:00:00,11.7,43.75,2.08,120.0,80.0,,2021-02-06
10,STINGRAY 2H,24:00:00,11.7,23.38,5.0,200.0,100.0,"12hrs on/12hrs off, 6.6spm",2021-02-06
11,THORNY DEVIL 1H,24:00:00,39.9,112.83,20.83,180.0,100.0,,2021-02-06
12,THORNY DEVIL 2H,24:00:00,35.7,111.51,25.83,180.0,100.0,,2021-02-06
13,THORNY DEVIL 3H,24:00:00,15.87,65.18,3.75,180.0,80.0,,2021-02-06
14,WOMBAT 2H,24:00:00,20.04,31.36,5.0,140.0,90.0,,2021-02-06
0,CROC 1H,24:00:00,11.69,6.86,9.58,200.0,70.0,"12on/12off, 6.5spm, 20/50 Hot Oil",2021-02-05
1,GALAH 3H,0:00,0.0,23.4,0.42,50.0,80.0,down hole failure,2021-02-05
2,GOANNA 1H,0:00,0.0,0.0,0.0,50.0,50.0,down hole failure,2021-02-05
3,GREAT WHITE 1H,24:00:00,63.33,74.0,18.33,125.0,90.0,,2021-02-05
4,GREAT WHITE 2H,24:00:00,33.34,44.0,10.0,125.0,90.0,,2021-02-05
5,JAVELINA 1H,24:00:00,28.34,18.0,11.67,130.0,80.0,"12hrs on/12hrs off, 7.3spm",2021-02-05
6,MANTA 1H,24:00:00,16.73,39.9,30.03,200.0,80.0,Avg- 6.5spm,2021-02-05
7,REEF 3H,24:00:00,33.28,50.2,21.67,200.0,70.0,6.5spm,2021-02-05
8,RIDGEBACK 1H,24:00:00,13.37,12.0,6.67,120.0,80.0,7.1spm,2021-02-05
9,SEA WASP 2H,24:00:00,6.22,48.06,12.91,120.0,80.0,Chem treated,2021-02-05
10,STINGRAY 2H,24:00:00,10.03,23.0,18.33,200.0,100.0,"12hrs on/12hrs off, 6.6spm",2021-02-05
11,THORNY DEVIL 1H,24:00:00,46.55,112.83,26.67,180.0,100.0,Chem treated,2021-02-05
12,THORNY DEVIL 2H,24:00:00,36.54,111.51,20.84,180.0,100.0,Chem treated,2021-02-05
13,THORNY DEVIL 3H,24:00:00,10.86,65.18,7.91,180.0,180.0,Chem treated,2021-02-05
14,WOMBAT 2H,24:00:00,15.03,28.0,11.67,140.0,90.0,,2021-02-05
0,CROC 1H,24:00:00,3.34,5.25,0.0,200.0,70.0,"AFT- 140 BFT- 127, 12on/12off, 6.5spm, gas locked",2021-02-04
1,GALAH 3H,0:00,0.0,21.75,0.0,50.0,80.0,down hole failure,2021-02-04
2,GOANNA 1H,0:00,0.01,0.0,0.0,50.0,50.0,down hole failure,2021-02-04
3,GREAT WHITE 1H,24:00:00,47.22,76.8,26.67,125.0,90.0,,2021-02-04
4,GREAT WHITE 2H,24:00:00,46.34,63.86,25.0,125.0,90.0,,2021-02-04
5,JAVELINA 1H,24:00:00,13.34,17.0,16.66,130.0,80.0,"12hrs on/12hrs off, 7.3spm",2021-02-04
6,MANTA 1H,24:00:00,33.48,30.07,4.89,200.0,80.0,"AFT-139 BFT- 122, Avg- 6.5spm, chem treated",2021-02-04
7,REEF 3H,24:00:00,32.44,30.45,5.25,200.0,70.0,"AFT- 131 BFT 128, 6.5spm",2021-02-04
8,RIDGEBACK 1H,24:00:00,11.7,12.0,11.67,120.0,80.0,7.1spm,2021-02-04
9,SEA WASP 2H,24:00:00,14.61,47.41,3.33,120.0,80.0,,2021-02-04
10,STINGRAY 2H,24:00:00,31.77,10.13,13.34,200.0,100.0,"12hrs on/12hrs off, 6.6spm",2021-02-04
11,THORNY DEVIL 1H,24:00:00,42.8,107.01,22.08,180.0,100.0,,2021-02-04
12,THORNY DEVIL 2H,24:00:00,36.59,113.23,19.58,180.0,100.0,,2021-02-04
13,THORNY DEVIL 3H,24:00:00,27.15,87.27,0.0,180.0,80.0,,2021-02-04
14,WOMBAT 2H,24:00:00,20.04,30.86,11.66,140.0,90.0,,2021-02-04
0,CROC 1H,24:00:00,6.99,8.76,0.0,200.0,70.0,"12on/12off, 6.5spm",2021-02-03
1,GALAH 3H,0:00,0.0,12.97,0.0,50.0,80.0,down hole failure,2021-02-03
2,GOANNA 1H,0:00,-0.01,4.0,0.0,50.0,20.0,down hole failure,2021-02-03
3,GREAT WHITE 1H,24:00:00,58.34,76.54,33.33,125.0,90.0,Chem Treated(2/3),2021-02-03
4,GREAT WHITE 2H,24:00:00,48.34,69.09,25.0,125.0,90.0,Chem Treated(2/3),2021-02-03
5,JAVELINA 1H,24:00:00,20.0,15.14,6.67,130.0,80.0,"12hrs on/12hrs off, 7.3spm",2021-02-03
6,MANTA 1H,24:00:00,33.46,42.43,20.92,200.0,80.0,Avg- 6.5spm,2021-02-03
7,REEF 3H,24:00:00,35.76,52.04,22.09,200.0,70.0,6.5spm,2021-02-03
8,RIDGEBACK 1H,24:00:00,13.39,12.13,5.0,120.0,80.0,7.1spm,2021-02-03
9,SEA WASP 2H,24:00:00,11.7,48.7,3.34,120.0,80.0,,2021-02-03
10,STINGRAY 2H,24:00:00,10.03,5.82,0.0,200.0,100.0,"12hrs on/12hrs off, 6.6spm",2021-02-03
11,THORNY DEVIL 1H,24:00:00,53.59,110.75,20.0,160.0,100.0,,2021-02-03
12,THORNY DEVIL 2H,24:00:00,36.54,116.23,20.0,180.0,100.0,,2021-02-03
13,THORNY DEVIL 3H,24:00:00,13.37,56.32,5.0,180.0,80.0,,2021-02-03
14,WOMBAT 2H,24:00:00,14.3,34.34,15.0,140.0,90.0,,2021-02-03
0,CROC 1H,24:00:00,19.97,21.25,0.0,200.0,70.0,"12on/12off, 6.5spm",2021-02-02
1,GALAH 3H,0:00,0.0,4.78,0.0,50.0,80.0,down hole failure,2021-02-02
2,GOANNA 1H,0:00,0.0,0.0,0.0,100.0,20.0,down hole failure,2021-02-02
3,GREAT WHITE 1H,24:00:00,56.66,76.44,20.67,125.0,90.0,,2021-02-02
4,GREAT WHITE 2H,24:00:00,38.33,51.65,20.0,125.0,90.0,,2021-02-02
5,JAVELINA 1H,24:00:00,20.01,17.14,8.33,130.0,80.0,"12hrs on/12hrs off, 7.3spm",2021-02-02
6,MANTA 1H,24:00:00,19.53,26.42,18.14,200.0,80.0,Avg- 6.5spm,2021-02-02
7,REEF 3H,24:00:00,29.94,31.71,3.32,200.0,70.0,,2021-02-02
8,RIDGEBACK 1H,24:00:00,16.8,11.86,1.66,120.0,80.0,7.1spm,2021-02-02
9,SEA WASP 2H,24:00:00,13.36,49.59,10.0,140.0,80.0,,2021-02-02
10,STINGRAY 2H,24:00:00,16.71,14.67,8.33,200.0,100.0,"12hrs on/12hrs off, 6.6spm",2021-02-02
11,THORNY DEVIL 1H,24:00:00,44.48,114.8,22.92,160.0,100.0,,2021-02-02
12,THORNY DEVIL 2H,24:00:00,37.79,116.63,17.08,180.0,100.0,,2021-02-02
13,THORNY DEVIL 3H,24:00:00,18.38,65.7,12.92,180.0,80.0,,2021-02-02
14,WOMBAT 2H,24:00:00,18.37,33.09,8.34,140.0,90.0,,2021-02-02
0,CROC 1H,24:00:00,4.99,4.93,0.0,200.0,70.0,"12on/12off, 6.5spm",2021-02-01
1,GALAH 3H,24:00:00,0.0,20.65,0.0,1201.0,3.0,No Pump action,2021-02-01
2,GOANNA 1H,0:00,0.0,4.0,0.0,100.0,15.0,down hole failure,2021-02-01
3,GREAT WHITE 1H,24:00:00,49.94,75.48,28.0,125.0,90.0,,2021-02-01
4,GREAT WHITE 2H,24:00:00,50.0,65.18,28.0,125.0,90.0,,2021-02-01
5,JAVELINA 1H,24:00:00,20.01,16.61,6.67,130.0,80.0,"12hrs on/12hrs off, 7.3spm",2021-02-01
6,MANTA 1H,24:00:00,38.35,33.67,14.64,200.0,80.0,Avg- 6.5spm,2021-02-01
7,REEF 3H,24:00:00,35.77,50.25,23.75,200.0,70.0,6.5spm,2021-02-01
8,RIDGEBACK 1H,24:00:00,16.53,11.57,5.0,120.0,80.0,7.1spm,2021-02-01
9,SEA WASP 2H,24:00:00,15.03,48.59,3.33,120.0,80.0,,2021-02-01
